Date,Home,Opponent,Blank,Score,Blank2,Formation,Jersey,Shots,ShotsonTarget,Fouls,Corners,Offsides,Posession(%),Attendence,Season,MD,HomeDummy,For,Against,GD,win,draw,lose,result
09-Aug-15,home,West Ham,,0-2,,    4-2-3-1,NA,22,6,12,5,3,62,59996,2015-16,0,1,0,2,-2,0,0,1,Lose
16,,C Palace,,02-Jan,,    4-2-3-1,A,20,7,12,6,2,59,24732,2015-16,0,0,2,1,1,1,0,0,Win
29,,Newcastle,,1-0,,    4-2-3-1,NA,21,8,8,9,2,74,50388,2015-16,0,0,1,0,1,1,0,0,Win
12-Sep-15,home,Stoke City,,2-0,,    4-2-3-1,NA,29,12,6,13,3,68,59963,2015-16,0,1,2,0,2,1,0,0,Win
19,,Chelsea,,0-2,,    4-2-3-1,NA,9,2,11,5,3,37,41584,2015-16,1,0,0,2,-2,0,0,1,Lose
16-Aug-14,home,C Palace,,02-Jan,,    4-1-4-1,NA,14,6,13,9,NA,76,59962,2014-15,0,1,2,1,1,1,0,0,Win
13-Sep-14,home,Man City,,02-Feb,,    4-1-4-1,NA,15,6,11,NA,2,45,60003,2014-15,0,1,2,2,0,0,1,0,Draw
27,home,Tottenham,,01-Jan,,    4-1-4-1,NA,16,6,7,15,3,69,59900,2014-15,0,1,1,1,0,0,1,0,Draw
05-Oct-14,,Chelsea,,0-2,,    4-1-4-1,NA,10,NA,10,2,NA,54,41607,2014-15,0,0,0,2,-2,0,0,1,Lose
01-Nov-14,home,Burnley,,3-0,,    4-2-3-1,NA,32,12,5,18,2,68,60012,2014-15,0,1,3,0,3,1,0,0,Win
22,home,Man Utd,,01-Feb,,    4-1-4-1,NA,23,9,12,11,1,61,60074,2014-15,1,1,1,2,-1,0,0,1,Lose
29,,West Brom,,1-0,,    4-2-3-1,NA,17,5,10,4,1,52,24228,2014-15,0,0,1,0,1,1,0,0,Win
6,,Stoke City,,02-Mar,,    4-2-3-1,A,14,6,14,9,3,58,27367,2014-15,0,0,2,3,-1,0,0,1,Lose
13,home,Newcastle,,04-Jan,,    4-1-4-1,NA,17,4,14,9,3,51,59949,2014-15,0,1,4,1,3,1,0,0,Win
26,home,QPR,,02-Jan,,    4-1-4-1,A,15,5,6,6,3,56,59947,2014-15,0,1,2,1,1,1,0,0,Win
28,,West Ham,,02-Jan,,    4-2-3-1,A,21,7,13,8,1,42,34977,2014-15,0,0,2,1,1,1,0,0,Win
11,home,Stoke City,,3-0,,    4-1-4-1,NA,14,6,11,9,4,54,59956,2014-15,0,1,3,0,3,1,0,0,Win
18,,Man City,,2-0,,    4-1-4-1,A,9,3,5,3,NA,35,45596,2014-15,1,0,2,0,2,1,0,0,Win
7,,Tottenham,,01-Feb,,    4-1-4-1,NA,7,3,12,3,3,44,35659,2014-15,0,0,1,2,-1,0,0,1,Lose
21,,C Palace,,02-Jan,,    4-2-3-1,A,12,4,14,1,3,47,24721,2014-15,0,0,2,1,1,1,0,0,Win
4,,QPR,,02-Jan,,    4-1-4-1,NA,20,3,8,6,2,57,17977,2014-15,0,0,2,1,1,1,0,0,Win
14,home,West Ham,,3-0,,    4-1-4-1,NA,19,9,10,8,3,68,60002,2014-15,0,1,3,0,3,1,0,0,Win
21,,Newcastle,,02-Jan,,    4-1-4-1,NA,7,3,7,4,4,49,50544,2014-15,0,0,2,1,1,1,0,0,Win
11,,Burnley,,1-0,,    4-1-4-1,A,17,5,7,6,2,69,20615,2014-15,1,0,1,0,1,1,0,0,Win
26,home,Chelsea,,0-0,,    4-1-4-1,NA,12,1,17,6,NA,57,60066,2014-15,0,1,0,0,0,0,1,0,Draw
17,,Man Utd,,01-Jan,,    4-2-3-1,A,5,3,8,5,2,43,75323,2014-15,1,0,1,1,0,0,1,0,Draw
24,home,West Brom,,04-Jan,,    4-2-3-1,NA,24,13,6,7,1,64,59971,2014-15,0,1,4,1,3,1,0,0,Win
24,,Fulham,,03-Jan,,    4-2-3-1,A,19,6,9,8,NA,54,25622,2013-14,0,0,3,1,2,1,0,0,Win
01-Sep-13,home,Tottenham,,1-0,,    4-2-3-1,NA,12,5,15,3,1,43,60071,2013-14,0,1,1,0,1,1,0,0,Win
22,home,Stoke City,,03-Jan,,    4-2-3-1,NA,17,9,8,6,1,51,60002,2013-14,1,1,3,1,2,1,0,0,Win
06-Oct-13,,West Brom,,01-Jan,,    4-2-3-1,A,14,5,11,2,2,56,24839,2013-14,0,0,1,1,0,0,1,0,Draw
26,,C Palace,,2-0,,    4-2-3-1,A,10,4,8,3,2,63,20050,2013-14,0,0,2,0,2,1,0,0,Win
10,,Man Utd,,0-1,,    4-2-3-1,A,10,2,11,6,2,60,75138,2013-14,0,0,0,1,-1,0,0,1,Lose
14,,Man City,,03-Jun,,    4-2-3-1,NA,12,6,6,8,4,47,47229,2013-14,0,0,3,6,-3,0,0,1,Lose
23,home,Chelsea,,0-0,,    4-1-4-1,NA,7,2,7,8,3,61,60039,2013-14,1,1,0,0,0,0,1,0,Draw
26,,West Ham,,03-Jan,,    4-2-3-1,A,29,8,6,10,2,66,34977,2013-14,0,0,3,1,2,1,0,0,Win
29,,Newcastle,,1-0,,    4-1-4-1,NA,11,5,8,1,1,53,52161,2013-14,0,0,1,0,1,1,0,0,Win
18,home,Fulham,,2-0,,    4-1-4-1,NA,22,8,5,4,1,59,60000,2013-14,0,1,2,0,2,1,0,0,Win
02-Feb-14,home,C Palace,,2-0,,    4-2-3-1,NA,11,6,9,6,NA,73,60005,2013-14,0,1,2,0,2,1,0,0,Win
12,home,Man Utd,,0-0,,    4-2-3-1,NA,17,5,10,5,1,57,60021,2013-14,0,1,0,0,0,0,1,0,Draw
01-Mar-14,,Stoke City,,0-1,,    4-2-3-1,A,10,2,11,4,NA,57,26711,2013-14,0,0,0,1,-1,0,0,1,Lose
16,,Tottenham,,1-0,,    4-1-4-1,NA,7,3,11,2,4,41,35711,2013-14,0,0,1,0,1,1,0,0,Win
22,,Chelsea,,0-6,,    4-2-3-1,NA,12,5,8,1,2,47,41614,2013-14,0,0,0,6,-6,0,0,1,Lose
29,home,Man City,,01-Jan,,    4-2-3-1,NA,10,3,8,6,2,48,60060,2013-14,1,1,1,1,0,0,1,0,Draw
15,home,West Ham,,03-Jan,,    4-2-3-1,NA,14,8,14,4,2,61,59977,2013-14,0,1,3,1,2,1,0,0,Win
28,home,Newcastle,,3-0,,    4-1-4-1,NA,20,8,9,14,4,61,60023,2013-14,0,1,3,0,3,1,0,0,Win
04-May-14,home,West Brom,,1-0,,    4-2-3-1,NA,15,4,9,9,NA,60,60021,2013-14,0,1,1,0,1,1,0,0,Win
26,,Stoke City,,0-0,,    4-2-3-1,A,17,2,9,11,1,67,27072,2012-13,0,0,0,0,0,0,1,0,Draw
23,,Man City,,01-Jan,,    4-2-3-1,NA,11,4,8,4,1,59,47318,2012-13,1,0,1,1,0,0,1,0,Draw
29,home,Chelsea,,01-Feb,,    4-2-3-1,NA,17,4,14,6,4,52,60101,2012-13,0,1,1,2,-1,0,0,1,Lose
06-Oct-12,,West Ham,,03-Jan,,    4-2-3-1,A,21,7,8,16,1,69,34974,2012-13,0,0,3,1,2,1,0,0,Win
27,home,QPR,,1-0,,    4-2-3-1,NA,21,9,16,5,1,66,60103,2012-13,0,1,1,0,1,1,0,0,Win
03-Nov-12,,Man Utd,,01-Feb,,    4-1-4-1,A,7,2,15,1,1,52,75492,2012-13,1,0,1,2,-1,0,0,1,Lose
10,home,Fulham,,03-Mar,,    4-2-3-1,NA,14,5,11,8,1,56,60093,2012-13,0,1,3,3,0,0,1,0,Draw
17,home,Tottenham,,05-Feb,,    4-1-4-1,NA,13,7,13,6,4,66,60111,2012-13,0,1,5,2,3,1,0,0,Win
8,home,West Brom,,2-0,,    4-1-4-1,NA,19,3,13,7,6,59,60083,2012-13,0,1,2,0,2,1,0,0,Win
22,,Wigan,,1-0,,    4-1-4-1,NA,11,4,9,4,1,50,21754,2012-13,0,0,1,0,1,1,0,0,Win
29,home,Newcastle,,07-Mar,,    4-2-3-1,NA,16,10,9,5,2,44,60087,2012-13,0,1,7,3,4,1,0,0,Win
13,home,Man City,,0-2,,    4-2-3-1,NA,9,3,12,2,3,40,60107,2012-13,1,1,0,2,-2,0,0,1,Lose
20,,Chelsea,,01-Feb,,    4-2-3-1,NA,12,6,11,9,5,50,41784,2012-13,0,0,1,2,-1,0,0,1,Lose
